%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82388.659,301.128,0.953,25.078,299.729,278.339,-1025.721,-1022.676,-1020.96,-1020.651,-1019.853,-1022.95,-1025.295,-1024.418,-1022.323,-1020.563,-1017.608,-1024.809,0.628,-1019.17,-1021.519,-1023.292,-9.291,-544.798,-289.718,14.557,177.619,-99.915
82384.628,301.131,0.953,25.066,299.413,278.339,-1026.045,-1022.673,-1020.213,-1020.651,-1019.853,-1023.261,-1024.762,-1024.312,-1021.765,-1019.627,-1018.345,-1024.809,0.524,-1019.379,-1020.898,-1023.179,-9.302,-544.798,-289.718,14.557,177.619,-99.915
82384.628,301.13,0.953,25.079,299.729,278.339,-1025.289,-1023.007,-1021.014,-1020.755,-1020.177,-1023.469,-1024.549,-1024.312,-1022.992,-1020.251,-1017.819,-1026.187,0.105,-1019.692,-1021.105,-1023.404,-9.312,-544.798,-289.718,14.557,177.635,-99.915
82392.69,301.128,0.953,25.068,299.492,278.339,-1025.397,-1022.45,-1021.441,-1020.233,-1019.961,-1023.572,-1024.975,-1024.098,-1022.211,-1020.251,-1018.029,-1024.915,-0.627,-1019.065,-1021.415,-1023.404,-9.291,-544.798,-289.718,14.557,177.619,-99.926
82388.659,301.13,0.953,25.069,299.492,278.179,-1025.721,-1022.562,-1020.374,-1020.441,-1019.745,-1022.64,-1025.189,-1023.67,-1022.211,-1019.731,-1017.398,-1024.49,0.628,-1019.274,-1020.07,-1023.067,-9.302,-544.798,-289.718,14.557,177.635,-99.905
82392.69,301.128,0.953,25.058,299.255,278.339,-1026.368,-1022.339,-1020.587,-1020.129,-1018.991,-1022.638,-1024.229,-1024.525,-1022.434,-1019.315,-1017.503,-1025.021,0.628,-1018.752,-1021.105,-1022.842,-9.302,-544.798,-289.718,14.557,177.619,-99.915
82384.628,301.128,0.953,25.069,299.492,278.179,-1024.857,-1022.673,-1021.014,-1020.337,-1019.206,-1023.053,-1024.336,-1023.136,-1022.323,-1019.211,-1017.713,-1024.703,0.314,-1018.857,-1020.173,-1023.404,-9.302,-544.798,-289.718,14.557,177.635,-99.905
82396.722,301.128,0.953,25.057,299.255,278.339,-1024.965,-1022.005,-1021.975,-1020.337,-1019.637,-1023.364,-1024.656,-1023.457,-1021.988,-1020.459,-1018.345,-1024.597,-0.209,-1018.648,-1021.001,-1022.842,-9.291,-544.798,-289.718,14.557,177.635,-99.915
82392.69,301.128,0.953,25.068,299.492,278.499,-1025.505,-1021.894,-1020.16,-1020.337,-1018.883,-1022.742,-1024.443,-1023.777,-1021.491,-1018.899,-1017.608,-1025.021,0.314,-1019.274,-1021.105,-1022.73,-9.27,-544.798,-289.718,14.557,177.652,-99.926
82384.628,301.131,0.953,25.063,299.334,278.339,-1025.505,-1022.45,-1020.481,-1020.441,-1020.069,-1023.571,-1025.189,-1024.846,-1022.272,-1019.417,-1018.24,-1025.657,0.105,-1018.961,-1021.519,-1023.629,-9.302,-544.798,-289.718,14.557,177.635,-99.915
