%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82372.534,301.165,0.953,15.073,108.240,86.868,-1026.317,-1023.567,-1022.084,-1020.965,-1020.717,-1024.557,-1025.936,-1025.061,-1022.604,-1020.565,-1018.136,-1025.658,-0.105,-1019.797,-1022.348,-1024.754,-9.114,-544.798,-289.718,14.557,178.173,-100.417
82372.534,301.169,0.953,15.068,108.161,86.708,-1026.533,-1022.786,-1021.550,-1021.382,-1020.502,-1024.349,-1026.469,-1024.526,-1023.385,-1021.397,-1018.663,-1026.507,0.523,-1020.632,-1022.141,-1024.080,-9.104,-544.798,-289.718,14.557,178.156,-100.427
82372.534,301.169,0.953,15.073,108.240,87.348,-1027.180,-1023.565,-1021.440,-1021.277,-1020.717,-1024.038,-1026.469,-1026.343,-1023.162,-1021.293,-1019.400,-1025.871,-0.000,-1019.589,-1021.830,-1024.529,-9.125,-544.798,-289.718,14.557,178.173,-100.407
82376.565,301.167,0.953,15.073,108.240,87.188,-1026.425,-1023.898,-1021.440,-1020.962,-1020.717,-1024.246,-1026.043,-1025.061,-1023.942,-1020.565,-1017.925,-1026.083,-0.000,-1019.797,-1021.934,-1024.867,-9.114,-544.798,-289.718,14.557,178.173,-100.417
82376.565,301.170,0.953,15.084,108.398,87.668,-1026.317,-1023.008,-1022.507,-1021.275,-1020.609,-1024.557,-1025.723,-1025.274,-1022.716,-1021.293,-1019.189,-1025.765,0.105,-1020.110,-1022.141,-1024.529,-9.104,-544.798,-289.718,14.557,178.156,-100.417
82384.628,301.165,0.953,15.072,108.240,87.348,-1026.641,-1023.453,-1021.653,-1021.796,-1020.825,-1023.571,-1026.789,-1025.061,-1022.827,-1020.981,-1019.189,-1025.871,1.047,-1021.362,-1021.830,-1024.192,-9.104,-544.798,-289.718,14.557,178.156,-100.437
82380.596,301.164,0.953,15.072,108.240,87.348,-1027.073,-1023.898,-1021.546,-1021.379,-1020.717,-1024.400,-1025.827,-1025.809,-1023.496,-1020.981,-1018.979,-1026.189,0.209,-1020.319,-1022.348,-1024.305,-9.083,-544.798,-289.718,14.557,178.173,-100.427
82372.534,301.167,0.953,15.084,108.398,87.348,-1026.857,-1024.121,-1022.294,-1021.483,-1020.933,-1024.814,-1026.040,-1025.165,-1024.388,-1020.981,-1019.189,-1026.295,0.733,-1020.006,-1022.141,-1025.092,-9.093,-544.798,-289.718,14.557,178.140,-100.437
82364.471,301.169,0.953,15.074,108.240,87.188,-1026.641,-1023.008,-1023.147,-1021.066,-1021.148,-1024.918,-1026.040,-1024.951,-1023.163,-1021.709,-1018.979,-1026.083,-0.105,-1019.901,-1022.348,-1024.192,-9.104,-544.798,-289.718,14.557,178.156,-100.427
82384.628,301.165,0.953,15.072,108.240,87.028,-1026.425,-1023.231,-1021.546,-1021.483,-1020.286,-1024.089,-1026.040,-1025.165,-1023.275,-1021.082,-1019.505,-1026.719,0.314,-1021.258,-1022.037,-1023.967,-9.093,-544.798,-289.718,14.557,178.173,-100.427
82380.596,301.167,0.953,15.083,108.398,87.028,-1027.288,-1024.232,-1021.973,-1021.483,-1021.580,-1024.296,-1026.146,-1026.020,-1022.940,-1020.978,-1018.663,-1026.401,0.314,-1020.006,-1023.279,-1024.642,-9.104,-544.798,-289.718,14.557,178.156,-100.417
82364.471,301.167,0.953,15.074,108.240,87.348,-1026.425,-1023.565,-1022.080,-1021.483,-1020.825,-1024.711,-1025.933,-1025.058,-1024.166,-1021.290,-1019.084,-1026.401,0.314,-1020.423,-1022.658,-1025.429,-9.104,-544.798,-289.718,14.557,178.173,-100.427
82380.596,301.165,0.953,15.078,108.319,87.508,-1027.180,-1023.676,-1023.147,-1021.587,-1021.040,-1024.400,-1026.359,-1025.272,-1023.163,-1021.811,-1018.768,-1026.613,0.000,-1020.841,-1022.244,-1024.417,-9.093,-544.798,-289.718,14.557,178.173,-100.427
82384.628,301.165,0.953,15.083,108.398,87.508,-1026.964,-1023.453,-1021.867,-1022.108,-1020.394,-1024.296,-1025.827,-1024.631,-1023.052,-1020.250,-1019.294,-1026.295,0.105,-1020.631,-1022.141,-1024.192,-9.104,-544.798,-289.718,14.557,178.173,-100.427
82376.565,301.165,0.953,15.095,108.556,87.668,-1026.425,-1023.342,-1021.973,-1021.483,-1021.364,-1024.193,-1025.187,-1024.951,-1022.940,-1020.666,-1018.452,-1026.401,-0.209,-1020.213,-1022.865,-1024.642,-9.104,-544.798,-289.718,14.557,178.156,-100.417
82380.596,301.165,0.953,15.089,108.477,87.668,-1026.533,-1024.010,-1022.080,-1021.587,-1020.825,-1025.125,-1025.827,-1025.058,-1023.720,-1021.186,-1018.979,-1025.871,0.000,-1019.796,-1021.727,-1024.642,-9.114,-544.798,-289.718,14.557,178.189,-100.417
82380.596,301.167,0.953,15.094,108.556,87.348,-1026.584,-1023.119,-1022.400,-1021.275,-1020.717,-1023.882,-1026.146,-1025.806,-1023.275,-1021.498,-1018.663,-1026.507,0.209,-1020.109,-1022.555,-1024.192,-9.093,-544.798,-289.718,14.557,178.173,-100.437
82384.628,301.167,0.953,15.094,108.556,87.668,-1027.124,-1023.786,-1021.760,-1021.379,-1020.717,-1023.985,-1025.613,-1025.806,-1023.832,-1020.770,-1019.084,-1026.189,0.524,-1020.526,-1022.141,-1024.305,-9.093,-544.798,-289.718,14.557,178.156,-100.427
82388.659,301.167,0.953,15.077,108.319,87.508,-1026.368,-1024.676,-1022.294,-1021.587,-1021.256,-1024.711,-1025.827,-1024.737,-1023.609,-1020.562,-1017.820,-1026.719,0.209,-1020.004,-1022.141,-1024.305,-9.093,-544.798,-289.718,14.557,178.140,-100.427
82376.565,301.165,0.953,15.078,108.319,87.668,-1026.476,-1023.007,-1022.080,-1021.483,-1020.286,-1024.918,-1025.400,-1025.699,-1023.052,-1021.082,-1018.873,-1026.507,-0.209,-1020.213,-1021.830,-1024.979,-9.114,-544.798,-289.718,14.557,178.173,-100.427
